entry_id,category,ro,en,meaning,rank,source,notes
greet_001,greetings,salut,hello,salut / hello,1,seed_vocabulary,
greet_002,greetings,bună,hi,bună / hi,2,seed_vocabulary,
greet_003,greetings,bună dimineața,good morning,bună dimineața / good morning,3,seed_vocabulary,
greet_004,greetings,bună seara,good evening,bună seara / good evening,4,seed_vocabulary,
greet_005,greetings,noapte bună,good night,noapte bună / good night,5,seed_vocabulary,
greet_006,greetings,la revedere,goodbye,la revedere / goodbye,6,seed_vocabulary,
greet_007,greetings,pa,bye,pa / bye,7,seed_vocabulary,
greet_008,greetings,ne vedem,see you,ne vedem / see you,8,seed_vocabulary,
greet_009,greetings,mulțumesc,thank you,mulțumesc / thank you,9,seed_vocabulary,
greet_010,greetings,te rog,please,te rog / please,10,seed_vocabulary,
greet_011,greetings,scuze,sorry,scuze / sorry,11,seed_vocabulary,
greet_012,greetings,bine ai venit,welcome,bine ai venit / welcome,12,seed_vocabulary,
greet_013,greetings,ce faci,how are you,ce faci / how are you,13,seed_vocabulary,
greet_014,greetings,sunt bine,I am fine,sunt bine / I am fine,14,seed_vocabulary,
greet_015,greetings,încântat,nice to meet you,încântat / nice to meet you,15,seed_vocabulary,
pro_001,pronouns,eu,I,eu / I,16,seed_vocabulary,
pro_002,pronouns,tu,you,tu / you,17,seed_vocabulary,
pro_003,pronouns,el,he,el / he,18,seed_vocabulary,
pro_004,pronouns,ea,she,ea / she,19,seed_vocabulary,
pro_005,pronouns,noi,we,noi / we,20,seed_vocabulary,
pro_006,pronouns,voi,you plural,voi / you plural,21,seed_vocabulary,
pro_007,pronouns,ei,they masculine,ei / they masculine,22,seed_vocabulary,
pro_008,pronouns,ele,they feminine,ele / they feminine,23,seed_vocabulary,
pro_009,pronouns,mie,me,mie / me,24,seed_vocabulary,
pro_010,pronouns,ție,to you,ție / to you,25,seed_vocabulary,
pro_011,pronouns,lui,to him,lui / to him,26,seed_vocabulary,
pro_012,pronouns,ei,to her,ei / to her,27,seed_vocabulary,
pro_013,pronouns,al meu,mine,al meu / mine,28,seed_vocabulary,
pro_014,pronouns,al tău,yours,al tău / yours,29,seed_vocabulary,
pro_015,pronouns,acesta,this,acesta / this,30,seed_vocabulary,
pro_016,pronouns,acela,that,acela / that,31,seed_vocabulary,
pro_017,pronouns,toți,all,toți / all,32,seed_vocabulary,
pro_018,pronouns,nimeni,nobody,nimeni / nobody,33,seed_vocabulary,
verb_001,verbs,a fi,to be,a fi / to be,34,seed_vocabulary,
verb_002,verbs,a avea,to have,a avea / to have,35,seed_vocabulary,
verb_003,verbs,a vrea,to want,a vrea / to want,36,seed_vocabulary,
verb_004,verbs,a avea nevoie,to need,a avea nevoie / to need,37,seed_vocabulary,
verb_005,verbs,a face,to do,a face / to do,38,seed_vocabulary,
verb_006,verbs,a merge,to go,a merge / to go,39,seed_vocabulary,
verb_007,verbs,a veni,to come,a veni / to come,40,seed_vocabulary,
verb_008,verbs,a vedea,to see,a vedea / to see,41,seed_vocabulary,
verb_009,verbs,a ști,to know,a ști / to know,42,seed_vocabulary,
verb_010,verbs,a spune,to say,a spune / to say,43,seed_vocabulary,
verb_011,verbs,a întreba,to ask,a întreba / to ask,44,seed_vocabulary,
verb_012,verbs,a răspunde,to answer,a răspunde / to answer,45,seed_vocabulary,
verb_013,verbs,a scrie,to write,a scrie / to write,46,seed_vocabulary,
verb_014,verbs,a citi,to read,a citi / to read,47,seed_vocabulary,
verb_015,verbs,a crea,to create,a crea / to create,48,seed_vocabulary,
verb_016,verbs,a șterge,to delete,a șterge / to delete,49,seed_vocabulary,
verb_017,verbs,a salva,to save,a salva / to save,50,seed_vocabulary,
verb_018,verbs,a încărca,to load,a încărca / to load,51,seed_vocabulary,
verb_019,verbs,a trimite,to send,a trimite / to send,52,seed_vocabulary,
verb_020,verbs,a primi,to receive,a primi / to receive,53,seed_vocabulary,
verb_021,verbs,a explica,to explain,a explica / to explain,54,seed_vocabulary,
verb_022,verbs,a comprima,to compress,a comprima / to compress,55,seed_vocabulary,
verb_023,verbs,a codifica,to encode,a codifica / to encode,56,seed_vocabulary,
verb_024,verbs,a decodifica,to decode,a decodifica / to decode,57,seed_vocabulary,
verb_025,verbs,a îmbunătăți,to improve,a îmbunătăți / to improve,58,seed_vocabulary,
obj_001,objects,apă,water,apă / water,59,seed_vocabulary,
obj_002,objects,mâncare,food,mâncare / food,60,seed_vocabulary,
obj_003,objects,pâine,bread,pâine / bread,61,seed_vocabulary,
obj_004,objects,cafea,coffee,cafea / coffee,62,seed_vocabulary,
obj_005,objects,ceai,tea,ceai / tea,63,seed_vocabulary,
obj_006,objects,casă,house,casă / house,64,seed_vocabulary,
obj_007,objects,cameră,room,cameră / room,65,seed_vocabulary,
obj_008,objects,masă,table,masă / table,66,seed_vocabulary,
obj_009,objects,scaun,chair,scaun / chair,67,seed_vocabulary,
obj_010,objects,carte,book,carte / book,68,seed_vocabulary,
obj_011,objects,telefon,phone,telefon / phone,69,seed_vocabulary,
obj_012,objects,calculator,computer,calculator / computer,70,seed_vocabulary,
obj_013,objects,tastatură,keyboard,tastatură / keyboard,71,seed_vocabulary,
obj_014,objects,ecran,screen,ecran / screen,72,seed_vocabulary,
obj_015,objects,fișier,file,fișier / file,73,seed_vocabulary,
obj_016,objects,dosar,folder,dosar / folder,74,seed_vocabulary,
obj_017,objects,text,text,text / text,75,seed_vocabulary,
obj_018,objects,idee,idea,idee / idea,76,seed_vocabulary,
obj_019,objects,limbaj,language,limbaj / language,77,seed_vocabulary,
obj_020,objects,simbol,symbol,simbol / symbol,78,seed_vocabulary,
obj_021,objects,regulă,rule,regulă / rule,79,seed_vocabulary,
obj_022,objects,tabel,table,tabel / table,80,seed_vocabulary,
obj_023,objects,raport,report,raport / report,81,seed_vocabulary,
obj_024,objects,proiect,project,proiect / project,82,seed_vocabulary,
obj_025,objects,model,model,model / model,83,seed_vocabulary,
emo_001,emotions,fericit,happy,fericit / happy,84,seed_vocabulary,
emo_002,emotions,trist,sad,trist / sad,85,seed_vocabulary,
emo_003,emotions,obosit,tired,obosit / tired,86,seed_vocabulary,
emo_004,emotions,curios,curious,curios / curious,87,seed_vocabulary,
emo_005,emotions,confuz,confused,confuz / confused,88,seed_vocabulary,
emo_006,emotions,calm,calm,calm / calm,89,seed_vocabulary,
emo_007,emotions,îngrijorat,worried,îngrijorat / worried,90,seed_vocabulary,
emo_008,emotions,furios,angry,furios / angry,91,seed_vocabulary,
emo_009,emotions,uimit,surprised,uimit / surprised,92,seed_vocabulary,
emo_010,emotions,interesat,interested,interesat / interested,93,seed_vocabulary,
emo_011,emotions,plictisit,bored,plictisit / bored,94,seed_vocabulary,
emo_012,emotions,mulțumit,satisfied,mulțumit / satisfied,95,seed_vocabulary,
emo_013,emotions,nesigur,uncertain,nesigur / uncertain,96,seed_vocabulary,
emo_014,emotions,motivat,motivated,motivat / motivated,97,seed_vocabulary,
emo_015,emotions,atent,focused,atent / focused,98,seed_vocabulary,
q_001,questions,ce,what,ce / what,99,seed_vocabulary,
q_002,questions,cine,who,cine / who,100,seed_vocabulary,
q_003,questions,unde,where,unde / where,101,seed_vocabulary,
q_004,questions,când,when,când / when,102,seed_vocabulary,
q_005,questions,de ce,why,de ce / why,103,seed_vocabulary,
q_006,questions,cum,how,cum / how,104,seed_vocabulary,
q_007,questions,cât,how much,cât / how much,105,seed_vocabulary,
q_008,questions,care,which,care / which,106,seed_vocabulary,
q_009,questions,poți,can you,poți / can you,107,seed_vocabulary,
q_010,questions,este,is it,este / is it,108,seed_vocabulary,
q_011,questions,ai,you have,ai / you have,109,seed_vocabulary,
q_012,questions,vrei,do you want,vrei / do you want,110,seed_vocabulary,
q_013,questions,înțelegi,do you understand,înțelegi / do you understand,111,seed_vocabulary,
q_014,questions,funcționează,does it work,funcționează / does it work,112,seed_vocabulary,
q_015,questions,continuăm,do we continue,continuăm / do we continue,113,seed_vocabulary,
time_001,time,acum,now,acum / now,114,seed_vocabulary,
time_002,time,azi,today,azi / today,115,seed_vocabulary,
time_003,time,mâine,tomorrow,mâine / tomorrow,116,seed_vocabulary,
time_004,time,ieri,yesterday,ieri / yesterday,117,seed_vocabulary,
time_005,time,dimineață,morning,dimineață / morning,118,seed_vocabulary,
time_006,time,seară,evening,seară / evening,119,seed_vocabulary,
time_007,time,noapte,night,noapte / night,120,seed_vocabulary,
time_008,time,oră,hour,oră / hour,121,seed_vocabulary,
time_009,time,minut,minute,minut / minute,122,seed_vocabulary,
time_010,time,secundă,second,secundă / second,123,seed_vocabulary,
time_011,time,săptămână,week,săptămână / week,124,seed_vocabulary,
time_012,time,lună,month,lună / month,125,seed_vocabulary,
time_013,time,an,year,an / year,126,seed_vocabulary,
time_014,time,devreme,early,devreme / early,127,seed_vocabulary,
time_015,time,târziu,late,târziu / late,128,seed_vocabulary,
time_016,time,înainte,before,înainte / before,129,seed_vocabulary,
time_017,time,după,after,după / after,130,seed_vocabulary,
time_018,time,repede,fast,repede / fast,131,seed_vocabulary,
time_019,time,lent,slow,lent / slow,132,seed_vocabulary,
time_020,time,final,end,final / end,133,seed_vocabulary,
act_001,actions,pornește,start,pornește / start,134,seed_vocabulary,
act_002,actions,oprește,stop,oprește / stop,135,seed_vocabulary,
act_003,actions,rulează,run,rulează / run,136,seed_vocabulary,
act_004,actions,testează,test,testează / test,137,seed_vocabulary,
act_005,actions,repară,fix,repară / fix,138,seed_vocabulary,
act_006,actions,analizează,analyze,analizează / analyze,139,seed_vocabulary,
act_007,actions,compară,compare,compară / compare,140,seed_vocabulary,
act_008,actions,alege,choose,alege / choose,141,seed_vocabulary,
act_009,actions,redu,reduce,redu / reduce,142,seed_vocabulary,
act_010,actions,scurtează,shorten,scurtează / shorten,143,seed_vocabulary,
act_011,actions,păstrează,preserve,păstrează / preserve,144,seed_vocabulary,
act_012,actions,schimbă,change,schimbă / change,145,seed_vocabulary,
act_013,actions,mută,move,mută / move,146,seed_vocabulary,
act_014,actions,copiază,copy,copiază / copy,147,seed_vocabulary,
act_015,actions,lipește,paste,lipește / paste,148,seed_vocabulary,
act_016,actions,caută,search,caută / search,149,seed_vocabulary,
act_017,actions,găsește,find,găsește / find,150,seed_vocabulary,
act_018,actions,deschide,open,deschide / open,151,seed_vocabulary,
act_019,actions,închide,close,închide / close,152,seed_vocabulary,
act_020,actions,actualizează,update,actualizează / update,153,seed_vocabulary,
act_021,actions,îmbină,merge,îmbină / merge,154,seed_vocabulary,
act_022,actions,împarte,split,împarte / split,155,seed_vocabulary,
act_023,actions,sortează,sort,sortează / sort,156,seed_vocabulary,
act_024,actions,filtrează,filter,filtrează / filter,157,seed_vocabulary,
act_025,actions,măsoară,measure,măsoară / measure,158,seed_vocabulary,
sw_001,software/project terms,agent,agent,agent / agent,159,seed_vocabulary,
sw_002,software/project terms,protocol,protocol,protocol / protocol,160,seed_vocabulary,
sw_003,software/project terms,stare,state,stare / state,161,seed_vocabulary,
sw_004,software/project terms,rundă,round,rundă / round,162,seed_vocabulary,
sw_005,software/project terms,experiment,experiment,experiment / experiment,163,seed_vocabulary,
sw_006,software/project terms,vocabular,vocabulary,vocabular / vocabulary,164,seed_vocabulary,
sw_007,software/project terms,sarcină,task,sarcină / task,165,seed_vocabulary,
sw_008,software/project terms,prompt,prompt,prompt / prompt,166,seed_vocabulary,
sw_009,software/project terms,răspuns,response,răspuns / response,167,seed_vocabulary,
sw_010,software/project terms,transcriere,transcript,transcriere / transcript,168,seed_vocabulary,
sw_011,software/project terms,jurnal,log,jurnal / log,169,seed_vocabulary,
sw_012,software/project terms,rezultat,result,rezultat / result,170,seed_vocabulary,
sw_013,software/project terms,metrică,metric,metrică / metric,171,seed_vocabulary,
sw_014,software/project terms,compresie,compression,compresie / compression,172,seed_vocabulary,
sw_015,software/project terms,raport final,final report,raport final / final report,173,seed_vocabulary,
sw_016,software/project terms,eroare,error,eroare / error,174,seed_vocabulary,
sw_017,software/project terms,eșec,failure,eșec / failure,175,seed_vocabulary,
sw_018,software/project terms,simbol inventat,invented symbol,simbol inventat / invented symbol,176,seed_vocabulary,
sw_019,software/project terms,simbol reutilizat,reused symbol,simbol reutilizat / reused symbol,177,seed_vocabulary,
sw_020,software/project terms,derivă,drift,derivă / drift,178,seed_vocabulary,
sw_021,software/project terms,noutate,novelty,noutate / novelty,179,seed_vocabulary,
sw_022,software/project terms,gramatică,grammar,gramatică / grammar,180,seed_vocabulary,
sw_023,software/project terms,identificator,identifier,identificator / identifier,181,seed_vocabulary,
sw_024,software/project terms,cod scurt,short code,cod scurt / short code,182,seed_vocabulary,
sw_025,software/project terms,semnificație,meaning,semnificație / meaning,183,seed_vocabulary,
sw_026,software/project terms,decodor,decoder,decodor / decoder,184,seed_vocabulary,
sw_027,software/project terms,encoder,encoder,encoder / encoder,185,seed_vocabulary,
sw_028,software/project terms,arhitectură,architecture,arhitectură / architecture,186,seed_vocabulary,
sw_029,software/project terms,prototip,prototype,prototip / prototype,187,seed_vocabulary,
sw_030,software/project terms,configurație,configuration,configurație / configuration,188,seed_vocabulary,
sw_031,software/project terms,temperatură,temperature,temperatură / temperature,189,seed_vocabulary,
sw_032,software/project terms,model local,local model,model local / local model,190,seed_vocabulary,
d2000_0191,connectors,și,and,și / and,191,curated_connector,
d2000_0192,connectors,sau,or,sau / or,192,curated_connector,
d2000_0193,connectors,dar,but,dar / but,193,curated_connector,
d2000_0194,connectors,însă,however,însă / however,194,curated_connector,
d2000_0195,connectors,deci,therefore,deci / therefore,195,curated_connector,
d2000_0196,connectors,pentru că,because,pentru că / because,196,curated_connector,
d2000_0197,connectors,fiindcă,since,fiindcă / since,197,curated_connector,
d2000_0198,connectors,dacă,if,dacă / if,198,curated_connector,
d2000_0199,connectors,atunci,then,atunci / then,199,curated_connector,
d2000_0200,connectors,altfel,otherwise,altfel / otherwise,200,curated_connector,
d2000_0201,connectors,în timp ce,while,în timp ce / while,201,curated_connector,
d2000_0202,connectors,după ce,after,după ce / after,202,curated_connector,
d2000_0203,connectors,înainte să,before,înainte să / before,203,curated_connector,
d2000_0204,connectors,cu,with,cu / with,204,curated_connector,
d2000_0205,connectors,fără,without,fără / without,205,curated_connector,
d2000_0206,connectors,prin,through,prin / through,206,curated_connector,
d2000_0207,connectors,între,between,între / between,207,curated_connector,
d2000_0208,connectors,peste,over,peste / over,208,curated_connector,
d2000_0209,connectors,sub,under,sub / under,209,curated_connector,
d2000_0210,connectors,lângă,near,lângă / near,210,curated_connector,
d2000_0211,connectors,în,in,în / in,211,curated_connector,
d2000_0212,connectors,pe,on,pe / on,212,curated_connector,
d2000_0213,connectors,la,at,la / at,213,curated_connector,
d2000_0214,connectors,din,from,din / from,214,curated_connector,
d2000_0215,connectors,către,toward,către / toward,215,curated_connector,
d2000_0216,connectors,despre,about,despre / about,216,curated_connector,
d2000_0217,connectors,pentru,for,pentru / for,217,curated_connector,
d2000_0218,connectors,ca,as,ca / as,218,curated_connector,
