id,category,ro,en,meaning,compact_token,frequency_rank,source_rank,token_length,source,notes
greet_001,greetings,salut,hello,salut / hello,1,1,1,1,seed_vocabulary,
greet_002,greetings,bună,hi,bună / hi,2,2,2,1,seed_vocabulary,
greet_003,greetings,bună dimineața,good morning,bună dimineața / good morning,3,3,3,1,seed_vocabulary,
greet_004,greetings,bună seara,good evening,bună seara / good evening,4,4,4,1,seed_vocabulary,
greet_005,greetings,noapte bună,good night,noapte bună / good night,5,5,5,1,seed_vocabulary,
greet_006,greetings,la revedere,goodbye,la revedere / goodbye,6,6,6,1,seed_vocabulary,
greet_007,greetings,pa,bye,pa / bye,7,7,7,1,seed_vocabulary,
greet_008,greetings,ne vedem,see you,ne vedem / see you,8,8,8,1,seed_vocabulary,
greet_009,greetings,mulțumesc,thank you,mulțumesc / thank you,9,9,9,1,seed_vocabulary,
greet_010,greetings,te rog,please,te rog / please,B,10,10,1,seed_vocabulary,
greet_011,greetings,scuze,sorry,scuze / sorry,C,11,11,1,seed_vocabulary,
greet_012,greetings,bine ai venit,welcome,bine ai venit / welcome,D,12,12,1,seed_vocabulary,
greet_013,greetings,ce faci,how are you,ce faci / how are you,J,13,13,1,seed_vocabulary,
greet_014,greetings,sunt bine,I am fine,sunt bine / I am fine,K,14,14,1,seed_vocabulary,
greet_015,greetings,încântat,nice to meet you,încântat / nice to meet you,L,15,15,1,seed_vocabulary,
pro_001,pronouns,eu,I,eu / I,@,16,16,1,seed_vocabulary,
pro_002,pronouns,tu,you,tu / you,U,17,17,1,seed_vocabulary,
pro_003,pronouns,el,he,el / he,M,18,18,1,seed_vocabulary,
pro_004,pronouns,ea,she,ea / she,R,19,19,1,seed_vocabulary,
pro_005,pronouns,noi,we,noi / we,S,20,20,1,seed_vocabulary,
pro_006,pronouns,voi,you plural,voi / you plural,V,21,21,1,seed_vocabulary,
pro_007,pronouns,ei,they masculine,ei / they masculine,X,22,22,1,seed_vocabulary,
pro_008,pronouns,ele,they feminine,ele / they feminine,Y,23,23,1,seed_vocabulary,
pro_009,pronouns,mie,me,mie / me,Z,24,24,1,seed_vocabulary,
pro_010,pronouns,ție,to you,ție / to you,b,25,25,1,seed_vocabulary,
pro_011,pronouns,lui,to him,lui / to him,c,26,26,1,seed_vocabulary,
pro_012,pronouns,ei,to her,ei / to her,d,27,27,1,seed_vocabulary,
pro_013,pronouns,al meu,mine,al meu / mine,f,28,28,1,seed_vocabulary,
pro_014,pronouns,al tău,yours,al tău / yours,g,29,29,1,seed_vocabulary,
pro_015,pronouns,acesta,this,acesta / this,h,30,30,1,seed_vocabulary,
pro_016,pronouns,acela,that,acela / that,j,31,31,1,seed_vocabulary,
pro_017,pronouns,toți,all,toți / all,k,32,32,1,seed_vocabulary,
pro_018,pronouns,nimeni,nobody,nimeni / nobody,l,33,33,1,seed_vocabulary,
verb_001,verbs,a fi,to be,a fi / to be,=,34,34,1,seed_vocabulary,
verb_002,verbs,a avea,to have,a avea / to have,H,35,35,1,seed_vocabulary,
verb_003,verbs,a vrea,to want,a vrea / to want,W,36,36,1,seed_vocabulary,
verb_004,verbs,a avea nevoie,to need,a avea nevoie / to need,N,37,37,1,seed_vocabulary,
verb_005,verbs,a face,to do,a face / to do,m,38,38,1,seed_vocabulary,
verb_006,verbs,a merge,to go,a merge / to go,n,39,39,1,seed_vocabulary,
verb_007,verbs,a veni,to come,a veni / to come,q,40,40,1,seed_vocabulary,
verb_008,verbs,a vedea,to see,a vedea / to see,r,41,41,1,seed_vocabulary,
verb_009,verbs,a ști,to know,a ști / to know,s,42,42,1,seed_vocabulary,
verb_010,verbs,a spune,to say,a spune / to say,t,43,43,1,seed_vocabulary,
verb_011,verbs,a întreba,to ask,a întreba / to ask,v,44,44,1,seed_vocabulary,
verb_012,verbs,a răspunde,to answer,a răspunde / to answer,w,45,45,1,seed_vocabulary,
verb_013,verbs,a scrie,to write,a scrie / to write,x,46,46,1,seed_vocabulary,
verb_014,verbs,a citi,to read,a citi / to read,y,47,47,1,seed_vocabulary,
verb_015,verbs,a crea,to create,a crea / to create,z,48,48,1,seed_vocabulary,
verb_016,verbs,a șterge,to delete,a șterge / to delete,#,49,49,1,seed_vocabulary,
verb_017,verbs,a salva,to save,a salva / to save,$,50,50,1,seed_vocabulary,
verb_018,verbs,a încărca,to load,a încărca / to load,%,51,51,1,seed_vocabulary,
verb_019,verbs,a trimite,to send,a trimite / to send,*,52,52,1,seed_vocabulary,
verb_020,verbs,a primi,to receive,a primi / to receive,.,53,53,1,seed_vocabulary,
verb_021,verbs,a explica,to explain,a explica / to explain,:,54,54,1,seed_vocabulary,
verb_022,verbs,a comprima,to compress,a comprima / to compress,;,55,55,1,seed_vocabulary,
verb_023,verbs,a codifica,to encode,a codifica / to encode,^,56,56,1,seed_vocabulary,
verb_024,verbs,a decodifica,to decode,a decodifica / to decode,_,57,57,1,seed_vocabulary,
verb_025,verbs,a îmbunătăți,to improve,a îmbunătăți / to improve,~,58,58,1,seed_vocabulary,
obj_001,objects,apă,water,apă / water,0,59,59,1,seed_vocabulary,
obj_002,objects,mâncare,food,mâncare / food,F,60,60,1,seed_vocabulary,
obj_003,objects,pâine,bread,pâine / bread,00,61,61,2,seed_vocabulary,
obj_004,objects,cafea,coffee,cafea / coffee,01,62,62,2,seed_vocabulary,
obj_005,objects,ceai,tea,ceai / tea,02,63,63,2,seed_vocabulary,
obj_006,objects,casă,house,casă / house,03,64,64,2,seed_vocabulary,
obj_007,objects,cameră,room,cameră / room,04,65,65,2,seed_vocabulary,
obj_008,objects,masă,table,masă / table,05,66,66,2,seed_vocabulary,
obj_009,objects,scaun,chair,scaun / chair,06,67,67,2,seed_vocabulary,
obj_010,objects,carte,book,carte / book,07,68,68,2,seed_vocabulary,
obj_011,objects,telefon,phone,telefon / phone,08,69,69,2,seed_vocabulary,
obj_012,objects,calculator,computer,calculator / computer,P,70,70,1,seed_vocabulary,
obj_013,objects,tastatură,keyboard,tastatură / keyboard,09,71,71,2,seed_vocabulary,
obj_014,objects,ecran,screen,ecran / screen,0B,72,72,2,seed_vocabulary,
obj_015,objects,fișier,file,fișier / file,0C,73,73,2,seed_vocabulary,
obj_016,objects,dosar,folder,dosar / folder,0D,74,74,2,seed_vocabulary,
obj_017,objects,text,text,text / text,0F,75,75,2,seed_vocabulary,
obj_018,objects,idee,idea,idee / idea,0G,76,76,2,seed_vocabulary,
obj_019,objects,limbaj,language,limbaj / language,0H,77,77,2,seed_vocabulary,
obj_020,objects,simbol,symbol,simbol / symbol,0J,78,78,2,seed_vocabulary,
obj_021,objects,regulă,rule,regulă / rule,0K,79,79,2,seed_vocabulary,
obj_022,objects,tabel,table,tabel / table,0L,80,80,2,seed_vocabulary,
obj_023,objects,raport,report,raport / report,0M,81,81,2,seed_vocabulary,
obj_024,objects,proiect,project,proiect / project,0N,82,82,2,seed_vocabulary,
obj_025,objects,model,model,model / model,0P,83,83,2,seed_vocabulary,
emo_001,emotions,fericit,happy,fericit / happy,0Q,84,84,2,seed_vocabulary,
emo_002,emotions,trist,sad,trist / sad,0R,85,85,2,seed_vocabulary,
emo_003,emotions,obosit,tired,obosit / tired,0S,86,86,2,seed_vocabulary,
emo_004,emotions,curios,curious,curios / curious,0T,87,87,2,seed_vocabulary,
emo_005,emotions,confuz,confused,confuz / confused,0V,88,88,2,seed_vocabulary,
emo_006,emotions,calm,calm,calm / calm,0W,89,89,2,seed_vocabulary,
emo_007,emotions,îngrijorat,worried,îngrijorat / worried,0X,90,90,2,seed_vocabulary,
emo_008,emotions,furios,angry,furios / angry,0Y,91,91,2,seed_vocabulary,
emo_009,emotions,uimit,surprised,uimit / surprised,0Z,92,92,2,seed_vocabulary,
emo_010,emotions,interesat,interested,interesat / interested,0b,93,93,2,seed_vocabulary,
emo_011,emotions,plictisit,bored,plictisit / bored,0c,94,94,2,seed_vocabulary,
emo_012,emotions,mulțumit,satisfied,mulțumit / satisfied,0d,95,95,2,seed_vocabulary,
emo_013,emotions,nesigur,uncertain,nesigur / uncertain,0f,96,96,2,seed_vocabulary,
emo_014,emotions,motivat,motivated,motivat / motivated,0g,97,97,2,seed_vocabulary,
emo_015,emotions,atent,focused,atent / focused,0h,98,98,2,seed_vocabulary,
q_001,questions,ce,what,ce / what,?,99,99,1,seed_vocabulary,
q_002,questions,cine,who,cine / who,0j,100,100,2,seed_vocabulary,
q_003,questions,unde,where,unde / where,0k,101,101,2,seed_vocabulary,
q_004,questions,când,when,când / when,0l,102,102,2,seed_vocabulary,
q_005,questions,de ce,why,de ce / why,0m,103,103,2,seed_vocabulary,
q_006,questions,cum,how,cum / how,0n,104,104,2,seed_vocabulary,
q_007,questions,cât,how much,cât / how much,0p,105,105,2,seed_vocabulary,
q_008,questions,care,which,care / which,0q,106,106,2,seed_vocabulary,
q_009,questions,poți,can you,poți / can you,0r,107,107,2,seed_vocabulary,
q_010,questions,este,is it,este / is it,0s,108,108,2,seed_vocabulary,
q_011,questions,ai,you have,ai / you have,0t,109,109,2,seed_vocabulary,
q_012,questions,vrei,do you want,vrei / do you want,0v,110,110,2,seed_vocabulary,
q_013,questions,înțelegi,do you understand,înțelegi / do you understand,0w,111,111,2,seed_vocabulary,
q_014,questions,funcționează,does it work,funcționează / does it work,0x,112,112,2,seed_vocabulary,
q_015,questions,continuăm,do we continue,continuăm / do we continue,0y,113,113,2,seed_vocabulary,
time_001,time,acum,now,acum / now,T,114,114,1,seed_vocabulary,
time_002,time,azi,today,azi / today,0z,115,115,2,seed_vocabulary,
time_003,time,mâine,tomorrow,mâine / tomorrow,0!,116,116,2,seed_vocabulary,
time_004,time,ieri,yesterday,ieri / yesterday,0#,117,117,2,seed_vocabulary,
time_005,time,dimineață,morning,dimineață / morning,0$,118,118,2,seed_vocabulary,
time_006,time,seară,evening,seară / evening,0%,119,119,2,seed_vocabulary,
time_007,time,noapte,night,noapte / night,0&,120,120,2,seed_vocabulary,
time_008,time,oră,hour,oră / hour,0*,121,121,2,seed_vocabulary,
time_009,time,minut,minute,minut / minute,0+,122,122,2,seed_vocabulary,
time_010,time,secundă,second,secundă / second,0.,123,123,2,seed_vocabulary,
time_011,time,săptămână,week,săptămână / week,0/,124,124,2,seed_vocabulary,
time_012,time,lună,month,lună / month,0:,125,125,2,seed_vocabulary,
time_013,time,an,year,an / year,0;,126,126,2,seed_vocabulary,
time_014,time,devreme,early,devreme / early,0=,127,127,2,seed_vocabulary,
time_015,time,târziu,late,târziu / late,0?,128,128,2,seed_vocabulary,
time_016,time,înainte,before,înainte / before,0@,129,129,2,seed_vocabulary,
time_017,time,după,after,după / after,0^,130,130,2,seed_vocabulary,
time_018,time,repede,fast,repede / fast,0_,131,131,2,seed_vocabulary,
time_019,time,lent,slow,lent / slow,0~,132,132,2,seed_vocabulary,
time_020,time,final,end,final / end,10,133,133,2,seed_vocabulary,
act_001,actions,pornește,start,pornește / start,11,134,134,2,seed_vocabulary,
act_002,actions,oprește,stop,oprește / stop,12,135,135,2,seed_vocabulary,
act_003,actions,rulează,run,rulează / run,13,136,136,2,seed_vocabulary,
act_004,actions,testează,test,testează / test,14,137,137,2,seed_vocabulary,
act_005,actions,repară,fix,repară / fix,15,138,138,2,seed_vocabulary,
act_006,actions,analizează,analyze,analizează / analyze,16,139,139,2,seed_vocabulary,
act_007,actions,compară,compare,compară / compare,17,140,140,2,seed_vocabulary,
act_008,actions,alege,choose,alege / choose,18,141,141,2,seed_vocabulary,
act_009,actions,redu,reduce,redu / reduce,19,142,142,2,seed_vocabulary,
